id,vader_neg,vader_neu,vader_pos,vader_compound,snippet.textOrginal,snippet.likeCount,snippet.publishedAt
UgwKZzIkkKej1fqjpdp4AaABAg,0.155,0.845,0.0,-0.5106,the fact that disney still owns any form of mickey mouse is a failure on the part of copywrite law,0,2023-09-05T19:37:16Z
Ugx96VLICT9abm2vR6t4AaABAg,0.034,0.966,0.0,-0.2617,"""Use the right tool for the right job: remind the FTC it's their job to compel Facebook and YouTube to change their broken systems, not based on copyright law, but based on the automation making it systemically illegally anticompetitive.

Remember that Einstein quote that i won't type out since i don't own the copyright to it 🤣 just think more divergently as a habit",0,2023-09-05T18:30:52Z
UgzKFTzk2CXzUUICTIF4AaABAg,0.225,0.775,0.0,-0.7599,"What do we do for the composers, painters, sculptors and writers whose works don't become well known and commercially viable until much later in life or well after death?",0,2023-09-05T15:59:17Z
UgxYLXbCmx2F5kyFKpl4AaABAg,0.018,0.948,0.034,0.3919,"I would think that there is still something we can do. Have copyright be at 65-70 years (including time when alive), but put limits on how much they can charge. One flat licensing fee for 30-40 years, then after 40 years it should be a flat amount, maybe $500, or $1,000 (up for debate), then lowers as time goes on, until it hits zero when it enters public domain. This way it'll still incentivize corporations to still make money, while allowing some creativity to flourish, as more and more people can afford the licensing fee to license it.",0,2023-09-05T07:34:44Z
UgyWMpeKnrbf0J_kLYJ4AaABAg,0.079,0.921,0.0,-0.1397,hearing tom mention mumbo is very strange but now that i think about it they're more similar than i originally thought,0,2023-09-04T19:50:47Z
UgxWidhiJD-aBL4-vs54AaABAg,0.2,0.8,0.0,-0.5423,"40:44 ""... inevitably lead to conflict..."" - Tom Scott
""Bastard :D"" - My SO on hearing that",0,2023-09-04T17:43:10Z
Ugzeyi9VXn9N8IVfJXR4AaABAg,0.096,0.816,0.088,-0.5574,"I unveil the “collab-verse” in this video Tom Scott and legal eagle collab. After that Tom Scott and MrWhoseTheBoss did a collab.  Tom Scott also chased the jet lag team. Jet lag, the extremities podcast, wendower and hai are all related. Hai once mentioned Cgp grey. Cgp grey has podcast with myke Hurley. So Tom Scott, legal eagle, tierzoo, hai, wendower, extremities, cgp grey, jet lag the game and Mike hurley",0,2023-09-02T04:59:20Z
Ugw2B1jT-5aVmbA50ZF4AaABAg,0.104,0.758,0.137,0.1779,"My idea:
creative commons by default
opt in public domain
opt in copyright no longer than 25 years",0,2023-09-01T20:15:19Z
UgwcD_WGWVemnwqQ2Pl4AaABAg,0.0,0.758,0.242,0.539,So could I legally stream a marvel movie just as long as I’m critiquing it the whole time?,1,2023-08-30T22:32:57Z
Ugz94mnhnDtA5IMFm0J4AaABAg,0.0,1.0,0.0,0.0,"""WHASSUP ITS YA BOY TOM SCOTT HERE- OH CMON blahblahblahblah""",1,2023-08-28T01:12:10Z
UgzXUCvcfRyzvWEWsnZ4AaABAg,0.0,0.814,0.186,0.4939,Tom has a few videos I watch regularly just because of their production. I enjoy them so much.,3,2023-08-25T07:07:45Z
UgxtwycZUy97coIS_rl4AaABAg,0.364,0.57,0.066,-0.8537,"The world's system is broken, yes. But there's also gaping problems in yt's copyright system that they've neglected for a decade.",2,2023-08-24T15:07:32Z
Ugy0PE-U1rvpCDP7sQB4AaABAg,0.0,0.543,0.457,0.6369,Love how you brought in MST3K,0,2023-08-23T03:36:42Z
UgwX8M0TPGx557IwvB14AaABAg,0.108,0.747,0.145,0.2415,"almost all youtube reactions are actually illegal xd, if only they just uploaded the reaction without the video on the corner or taking up 80% of the screen it might be legal if they don't play the audio or have the original thumbnail either",1,2023-08-20T17:58:27Z
Ugy14yB6K5-u90RLK-h4AaABAg,0.0,1.0,0.0,0.0,"0:15 three tom scotts at once, whatever more could i ask for",0,2023-08-20T02:12:59Z
UgxJEI0myfObeLnMRqJ4AaABAg,0.254,0.746,0.0,-0.7322,"34:20 Correction: Disney would absolutely take that lawsuit, and I doubt ""Shakespeare Copyright Ltd."" would have the money and the lawyers to mess with them.",2,2023-08-17T15:25:55Z
UgyWnSg7-cQWKipAp0x4AaABAg,0.0,1.0,0.0,0.0,Ukulele in bedroom 😮😢😢😢,5,2023-08-16T21:32:06Z
UgwlB4RyQvZyAcenQq94AaABAg,0.154,0.785,0.061,-0.4939,"If i was a musician and copyright was only 50 years… or worse, 20. I would refuse to create more music. Copyright should be at the very least the life of the artist.",1,2023-08-16T13:37:03Z
UgwZvP6490xwhKWzyMh4AaABAg,0.0,0.755,0.245,0.0772,I want to claim this video.,0,2023-08-16T05:01:54Z
UgwQzy5NBw1lV_vrJgt4AaABAg,0.013,0.864,0.123,0.9179,"Another important thing I think about the difference between patents and copyright is that patents are described and archived as part of that process, so there isn't the ""orphaned works"" issue for patent. I honestly think the archival aspect of copyright is something that would be nice to be specifically addressed in law, like adding archival and backup without further distribution until copyright expiration to what is considered a fair use, or having a patent-like system where media must be submitted to a central government database whenever copyright is legally enforced (so if a cease and desist was sent or a lawsuit was brought, to be enforceable, the media would have to be submitted). And then there's the issue of DRM...     anyways, that's all just to say that I think it's really important to not lose even obscure bits of culture and art.",1,2023-08-15T15:48:21Z
UgxzNt-hptFVFbd2aNB4AaABAg,0.079,0.921,0.0,-0.3612,"42 minute video essay with multiple costume changes, criticizing and examining a slightly obscure part of modern politics and law, Nebula sponsorship... I think Tom Scott officially qualifies as a LeftTube video essayist.",0,2023-08-15T15:37:33Z
UgxK9dUzjdnst3LqiKV4AaABAg,0.0,0.709,0.291,0.5719,"That ad at 27:20 had me reeling hahahah, perfect timing",0,2023-08-15T01:17:39Z
UgwTqo6BiopiJeflcrN4AaABAg,0.0,1.0,0.0,0.0,23y8m,0,2023-08-14T18:47:22Z
UgzoLmkK67jSDaxTAwl4AaABAg,0.0,1.0,0.0,0.0,based vid,0,2023-08-14T17:33:12Z
UgzPGtCfsF7NeOxpTkp4AaABAg,0.0,1.0,0.0,0.0,Scott-ception…,0,2023-08-14T07:11:26Z
UgwUWHvfX8oVRkykShB4AaABAg,0.0,0.919,0.081,0.3887,"Well said !!  The world's copyright system was designed / created for a time before Youtube / Social Media and needs to be updated. I would also add the banking and finance system to this ""needs to be changed"" group as well....... But that is another story.",1,2023-08-13T09:12:48Z
UgwjkR-PyHlvs4zopap4AaABAg,0.064,0.785,0.151,0.4386,I do NOT agree with Tom on shortening copyright time / caps on creative work. I’m for increasing the time to well beyond the life of the composer or an inventor.,0,2023-08-13T08:19:48Z
Ugz9qj-dOhD8leb6p4F4AaABAg,0.0,0.852,0.148,0.3089,Every time Tom Scott releases a copyright video I'm reminded I don't give a damn about copyright.,1,2023-08-12T23:09:32Z
Ugx3AFPLm7RcVXyhQ4x4AaABAg,0.0,0.922,0.078,0.6597,"Even 50 years is a long time for copyright to run for. That means an artist who made a song when they were 20 still earns money until they turn 70. The whole point of copyright is to encourage creation and creativity. In my opinion long copyright terms mean people get big off one thing and ride it into obscurity. I would push for a 30 year copyright term, because I think songs from the late 90s should still be in copyright (they are still wildly popular as throwback anthems) but the 80s is fast becoming irrelevant",2,2023-08-12T08:26:30Z
UgwkDe9wGNEr90VILPJ4AaABAg,0.0,1.0,0.0,0.0,17:13 about that…,0,2023-08-12T03:40:36Z
UgzdJbqFUSlioekdDyp4AaABAg,0.083,0.917,0.0,-0.2263,"Addendum because I kinda forgot to mention it until now: The H3H3 lawsuit was partly bankrolled by Overkill, the developers behind Payday 2.",0,2023-08-11T22:53:33Z
UgyHVv9XYkE28Psm8vp4AaABAg,0.0,0.755,0.245,0.5994,The fact that xQc _didn't_ upload a 'reaction' to this one speaks volumes lmao.,1,2023-08-11T16:02:04Z
UgwjoUNi-6PnSijXEEF4AaABAg,0.0,1.0,0.0,0.0,"Wait, so are you still infringing on copyright if you don't make any money from it?",1,2023-08-11T00:36:20Z
UgxpTsGvXGEwVhew_al4AaABAg,0.044,0.714,0.242,0.8225,"Forget the nuke, copyright is the single most harmful thing humanity invented. If we focused on cooperation instead of profits we would now been so much further. Today's big issues solved long ago.

However trademarks - good.",1,2023-08-10T12:17:30Z
UgxfJHtSeKek8iCsF4V4AaABAg,0.0,0.75,0.25,0.4588,5:10 random The Demolished Man reference threw me off haha,0,2023-08-10T05:15:18Z
UgyCGtBNdQaCMKDtjzB4AaABAg,0.0,0.5,0.5,0.4588,Glad MST3k was mentioned,1,2023-08-08T18:45:14Z
UgyzPdU5Fj2X_aVl1yd4AaABAg,0.0,0.482,0.518,0.5106,I liked the appearance of Legal Eagle,0,2023-08-08T18:12:51Z
Ugx6wqVJieGAGYRG32p4AaABAg,0.0,1.0,0.0,0.0,The thumnail changed 😅😅,0,2023-08-08T12:21:37Z
Ugz07NEC285S7FzRsrt4AaABAg,0.031,0.82,0.149,0.9318,I've been the old guy railing about the copyright period being indefensible for many years. So good to see someone else thinks the same. I agree that 20 years would be ideal but 50 years is a decent compromise. Copyright was defensible when the market for music and art centred around physical media that was hard to distribute and mostly limited to relatively small markets. It should be long enough for artists to make a living but now the market for music is global and you can earn royalties each time a song is played. This makes some artists richer than god and corporates can buy up media and make money off it for over hundred years?!,2,2023-08-08T08:34:00Z
Ugy8-6u7mDdZ8BuEuhB4AaABAg,0.0,0.845,0.155,0.1655,"Pardon me, but did your doppelganger just call you a ""Pratt""?",1,2023-08-07T21:09:15Z
UgzQJKxBPhghOUUUGdJ4AaABAg,0.0,1.0,0.0,0.0,Weird.. Disney is failing..,1,2023-08-07T11:48:04Z
UgzwQkyfL_iIFWHdUNZ4AaABAg,0.0,1.0,0.0,0.0,A classic of a video,0,2023-08-07T11:32:46Z
Ugyhb2rPC3lVKakV6kh4AaABAg,0.0,1.0,0.0,0.0,More relevant than ever!,0,2023-08-07T05:03:52Z
UgxFIxOp5ih5akI7ce14AaABAg,0.0,0.735,0.265,0.2023,Imagine Business Casual seeing this video,1,2023-08-05T14:37:41Z
Ugw5xm6zUdvn_cdk2lR4AaABAg,0.0,1.0,0.0,0.0,why did you change the thumbnail??,2,2023-08-04T01:13:37Z
UgzlUufrVa5cw2sJF1Z4AaABAg,0.108,0.777,0.115,-0.1828,"I' an artist and I believe that copyright flat out shouldnt exist, revenue should come from the creation of new artwork, not the continued beating of the dead horse of something made 70 years ago.",3,2023-08-03T15:07:21Z
Ugy73lLwleooWB4eksl4AaABAg,0.0,0.875,0.125,0.25,1:44 omg I now get his jokes about that 😂 I always wandered why he would say that,0,2023-08-03T12:04:22Z
UgxWNFZkPIMD0IrejVZ4AaABAg,0.0,0.513,0.487,0.5859,This video is still amazing.,0,2023-08-03T08:28:14Z
UgwBYAPSs4KaAJCAy794AaABAg,0.115,0.794,0.091,-0.0656,"Idk why I’m getting this now but this is relevant more than ever. 

I get why Copyright laws exist, but they have been taken way to far. I mean literally Nintendo is striking down people for copyright just so they can enjoy their music. It’s horrible.",8,2023-08-02T00:08:03Z
UgwoG3fgXaTboek1p0x4AaABAg,0.0,0.821,0.179,0.5423,I think that getting your work to enter public domain on a large scale should be an honorable thing.,4,2023-08-01T16:57:37Z
Ugy3DF_-i-xlnZLWSgV4AaABAg,0.0,0.625,0.375,0.6369,"Tom Scott is a proponent for FALGSC, I love it",1,2023-08-01T07:35:01Z
Ugzt9hsrHeRMWzOt8G94AaABAg,0.0,1.0,0.0,0.0,How did you make captions customized...,0,2023-07-31T15:50:29Z
Ugwe5HfklaIIPt9ysoF4AaABAg,0.0,1.0,0.0,0.0,"Tom was half way through saying the word ""advertising"" when the video got interupted by an advert",0,2023-07-31T11:42:44Z
UgxwhmwctX0EWLSvxjV4AaABAg,0.0,0.906,0.094,0.5994,"The artists who currently rely on royalties from a single song or book to the end of their lives could be protected by an exception for already existing work. That is, the ""50 years after publication"" rule would only affect work that is created starting with the new copyright law.",0,2023-07-30T22:34:58Z
UgzPAT_dSZQD8EDLuoh4AaABAg,0.0,0.783,0.217,0.3612,30:15 Looks like the scene where Julian Assange's trial happened.,0,2023-07-30T22:11:31Z
Ugykz6B7TyMDVokJphx4AaABAg,0.0,1.0,0.0,0.0,Got an ad for yt premium as he said the world's largest advertising firm...,0,2023-07-30T15:17:04Z
Ugxm_00Oe_O9gwOnelV4AaABAg,0.0,0.335,0.665,0.9168,Wow. This must be your best yet! Fantastic video.,0,2023-07-30T05:41:33Z
UgxZBBxlihM-wKtPu3p4AaABAg,0.0,1.0,0.0,0.0,"Talking about the warner chappel incident, the same thing has been happening with Toby Fox's music, where big companies are copyright claiming his music which is supposed to be in the public domain, according to Toby Fox himself.",1,2023-07-29T16:54:01Z
Ugx1cSARSTkyTeLyA2h4AaABAg,0.0,0.733,0.267,0.9022,I agree with mostly everything he’s saying but the sentence “The big media can sue YouTube out of existence” as if Google isn’t one of the richest companies in history and eventually wouldn’t be able to afford the legal fees is hilarious.,0,2023-07-28T04:13:08Z
Ugw0tWob18TdgRZ-rSh4AaABAg,0.0,1.0,0.0,0.0,Imagine if you could copyright the copyright logo so nobody could use the©️.,1,2023-07-27T20:21:52Z
UgzaTMSjFvGc61_Qtx54AaABAg,0.143,0.636,0.221,0.3527,Can someone explain the dispute at 40:18? xD Are the pronunciations not the same?,1,2023-07-27T17:16:36Z
UgxnuIMquv1-D38ndsZ4AaABAg,0.0,1.0,0.0,0.0,"You mention its advertising and an add pops up, you planed that didn't you?",0,2023-07-27T02:39:56Z
UgwtQttY-uZIsi1PzmN4AaABAg,0.0,1.0,0.0,0.0,1:05 was that a Holy Grail and the Mony Python reference?,2,2023-07-24T19:50:06Z
Ugz0HBKVdWL0hBRAdHN4AaABAg,0.0,0.623,0.377,0.91,"Copyright is one of the best examples of laws being all about money and power, and not at all about justice lmao",10,2023-07-24T14:13:55Z
UgxQCc9lAXWjfSJo9mJ4AaABAg,0.0,1.0,0.0,0.0,"As a developer, the patching of the noun/verb into ""conflict"" remains the most relatable part of this.",2,2023-07-20T21:53:12Z
UgzZq2Zsu7vyenVtzgV4AaABAg,0.213,0.787,0.0,-0.4019,Notice that all of these problem due to Fuzzyness of things,1,2023-07-20T13:57:25Z
UgwbzRQWVqT80wXvd4l4AaABAg,0.0,1.0,0.0,0.0,You're probably right about copyleft,0,2023-07-20T13:05:15Z
Ugx3C3Tdp9ci0DyyXHp4AaABAg,0.473,0.527,0.0,-0.6696,We need communism so bad bro,4,2023-07-20T11:12:21Z
UgwM4GJm8L5gwp1g6SZ4AaABAg,0.0,1.0,0.0,0.0,13:20 wait these last 2 were on Gamechanger!,1,2023-07-19T19:03:49Z
UgxW5M6fajGE0qkMShl4AaABAg,0.881,0.119,0.0,-0.8126,I HATE IT I HATE,0,2023-07-19T14:10:04Z
UgytpKSSJc_uZIIcS5t4AaABAg,0.0,0.809,0.191,0.6369,"So almost all of media is being held by the balls from corrupt companies and we're just supposed to say ""yes thank you daddy""?",1,2023-07-18T17:55:40Z
Ugzn-jDnZrOs416LTh94AaABAg,0.043,0.746,0.211,0.8587,Hi Tom. I really love to see this form of video from you. I hope you do more like it after your well deserved break in a few months. Also after you briefly talked about games here: I would love to see you explore some video games. But perhaps that is too boring after all the interesting stuff you have been through.,3,2023-07-18T09:51:09Z
UgzRKNeiwBL5umd2LWZ4AaABAg,0.237,0.694,0.069,-0.5994,7:12 not Tom foreshadowing the worst apology video that would be released 3 years later 💀,79,2023-07-18T03:05:55Z
Ugwz2d9prZx_1lqTGB14AaABAg,0.163,0.684,0.153,-0.0516,The only thing good about being poor is there is nothing they can sue for 😂,0,2023-07-17T17:48:18Z
UgwEG7LjFbxR5dzmOQh4AaABAg,0.0,1.0,0.0,0.0,7:18 this part was crazy😊,0,2023-07-15T10:38:59Z
UgzpsbszX5Mh8MMgup14AaABAg,0.128,0.872,0.0,-0.5719,"If the main effect of copyright law is in making people pay up small reasonable fees, then it's working. If works are being hidden or taken down or never made, that's the system failing.",0,2023-07-14T19:58:36Z
Ugwoua0uNfs8LTcydox4AaABAg,0.096,0.856,0.048,-0.5859,"Probably the biggest problem with YouTube's copyright system (including how they handle DMCA takedowns) has less to do with the system in-and-of itself, and more to do with how takedown claims screw with the views-per-day (or whatever the metric of that type is) that their algorithm uses to determine what videos to promote, and therefore a takedown claim on a video destroys the number of people who see the video even after the claim is released.",1,2023-07-14T03:34:23Z
Ugxr9rRNZKZ8R8JYYlJ4AaABAg,0.0,0.784,0.216,0.0258,this is all a bit silly,0,2023-07-14T01:34:28Z
UgyxB_PaWf3bA7r7ET94AaABAg,0.0,1.0,0.0,0.0,Noice,1,2023-07-13T20:55:26Z
UgwJaqqr0jLNVX7HaDt4AaABAg,0.0,0.323,0.677,0.6369,I love the intro,0,2023-07-13T19:04:48Z
UgwcnsgccbAqreR92j54AaABAg,0.0,1.0,0.0,0.0,"I was a professional photographer for a while... The answer to how I earned my living was, I didn't!",2,2023-07-13T14:52:52Z
Ugx_pCm7rUjxSvY0etN4AaABAg,0.0,0.782,0.218,0.4199,I like the new thumbnail! The old one was a little too red.,1,2023-07-13T07:15:26Z
UgwI2v0a8uxA2sitKsp4AaABAg,0.0,0.783,0.217,0.3818,Oh legal eagle 😆 I'm fairly certain he's up for anything even tangentially related to law 😅,0,2023-07-11T17:18:28Z
Ugwh7HppnsBf6GcUQdx4AaABAg,0.199,0.641,0.16,-0.1531,Sad world where you need to be wealthy to stand your ground,0,2023-07-11T16:54:20Z
UgzDf9lH4k9StnsPBMp4AaABAg,0.183,0.817,0.0,-0.6808,I would say that Youtube's copyright system is broken because now three years later people are getting copyright strikes from their own faces and the words they use.,0,2023-07-11T14:42:37Z
Ugy-DQig0uTPE6b85Kh4AaABAg,0.012,0.934,0.054,0.6108,"When I watch something like this and end up trying to research what songs and/or other media I can use by either just crediting the creator or needing to buy a licence, I usually give up because I (or anyone for that matter) can not afford legal trouble, even for a simple review that might use the media for less than 5 seconds or the music in the background is practically inaudible compared to the rest of the video.

And this is where I believe the legality of something should be irrelevant, similar to game emulation, because it will not dent a company's (or an individual's) wallet and often it is more than obvious that the media used is not yours or mine.",0,2023-07-11T00:43:49Z
Ugwcv6DuiSvbRzTUwJ54AaABAg,0.254,0.603,0.143,-0.3535,So it is broken in reality.  Is that worth a video?,1,2023-07-10T02:10:55Z
UgwDEN1JgChgwLuoc694AaABAg,0.0,1.0,0.0,0.0,"Very Sensible, and practical!",1,2023-07-09T21:41:44Z
UgzgYB8hL58I5udZ-bl4AaABAg,0.0,1.0,0.0,0.0,both are. you too.,0,2023-07-09T08:56:17Z
UgywpY-IuPuZZWDlmMZ4AaABAg,0.0,1.0,0.0,0.0,1:43 Oli? That dude is Mumbo Jumbo,1,2023-07-08T13:53:32Z
UgzhAC2u3e0uP_GlDAl4AaABAg,0.0,0.608,0.392,0.5956,20years is very very generous of you..,1,2023-07-07T22:24:01Z
Ugzv0pxkJdlgMvYm4XN4AaABAg,0.0,0.545,0.455,0.3612,I agree with this video.,1,2023-07-06T04:53:08Z
UgwLkul2wHyWggGMet54AaABAg,0.231,0.769,0.0,-0.128,Imagine this gets a copyright strike somehow,1,2023-07-03T12:22:18Z
UgxL-1wjuTbTGAp_XKR4AaABAg,0.0,0.311,0.689,0.923,"Brilliant vid, informative, funny and passionate. You're a good egg, Tom!",1,2023-07-03T09:40:05Z
UgxetWNHVcpV6vWe_GV4AaABAg,0.058,0.916,0.026,-0.3624,"I think copyright and patent are both archaic.  The time scales are from an era when mail carried by horse was the fastest communication and access to capital was a personal endeavor.  These days communication is essentially light speed and there are multiple capital markets.  I think both copyright and patent should be fourteen years or less.  If you invent or create something and you can't make a profit from it in fourteen years, you have no business holding it.",1,2023-07-01T21:58:40Z
UgyU_m4KokTxtr3dQVp4AaABAg,0.097,0.903,0.0,-0.5499,"But he never addresses the actual problem with the system, which is: Why does only 5 seconds of copyrighted material in a 500 second video entitle the claimant to 100% of the revenue, not just 1%?",1,2023-06-30T11:57:49Z
UgzG-L542rrXe7ciYXR4AaABAg,0.0,0.857,0.143,0.3612,"Me: **sees credits and recognizes Smallishbeans**
Also me: Did you get permission to use his footage?",1,2023-06-29T22:32:06Z
Ugwpp3YMiawlf53nuWR4AaABAg,0.0,0.785,0.215,0.7303,How about patent last for 50 years of jubilee? How much percentage shares it's involved? How if researcher who create stuff separate for funding company? Lawyer and politician please,0,2023-06-28T08:13:44Z
UgzO5vR7xnBes2QQRcV4AaABAg,0.13,0.548,0.322,0.4215,I now know how to escape copyright lawsuit from this video haha,1,2023-06-28T07:17:46Z
UgyhPioI5RHwESlVC654AaABAg,0.107,0.803,0.09,-0.3919,I know tom isn't a lawyer but seeing him in a suit does make me want him to defend me in court by providing the rock solid alibi that i was in the abandoned city of Pripyat,6,2023-06-26T15:26:34Z
Ugw8LIMZRiinWqqxjH94AaABAg,0.0,0.517,0.483,0.4215,Both can be true,0,2023-06-26T10:04:29Z
UgznZ-QdlX-ytHIbJDl4AaABAg,0.0,0.695,0.305,0.784,"Good to see that Tom updated Abi's credit in the description. I know it's only a small thing, but still good to see!",0,2023-06-25T09:50:49Z
Ugy_gPvk_wQOW1b3-wF4AaABAg,0.0,0.8,0.2,0.3612,40:18 I like how the linguist in Tom quickly pops up here,0,2023-06-24T18:59:46Z
UgzWoAWiJITFzVK4JoV4AaABAg,0.0,1.0,0.0,0.0,We should get another one on just all the stuff going on with shorts,0,2023-06-24T08:35:00Z
Ugwtdcr8yMZuWL0g1y54AaABAg,0.0,0.494,0.506,0.6249,this new thumbnail is great,0,2023-06-23T14:30:04Z
UgwJff-MIzah7rgkb_54AaABAg,0.0,1.0,0.0,0.0,Did a youtube make this video?,0,2023-06-23T07:14:59Z
Ugyzl4E7Z2Out9o7BEp4AaABAg,0.0,1.0,0.0,0.0,You changed the thumbnail? After all that time? Wild,0,2023-06-22T20:42:18Z
Ugznbt-8qyWTLBPAb2p4AaABAg,0.14,0.86,0.0,-0.4767,and the world's is broken because humans wanted more money. Copyright is only one of many that has been corrupted,3,2023-06-22T15:57:08Z
UgyHN2Etwts220l2oRB4AaABAg,0.0,0.798,0.202,0.6486,Am I imagining things or did the thumbnail of this video change recently? I watched it ages ago and I'm sure it looks different haha,0,2023-06-22T12:17:28Z
Ugxw4nRMPSKHJBn3mrp4AaABAg,0.0,1.0,0.0,0.0,2:56 the third lawyer just screams😂,0,2023-06-22T09:32:51Z
Ugz1YOyJ3znkN4MJlax4AaABAg,0.0,0.816,0.184,0.6369,You could save the few hundred creators relying in royalty income if you apply this 50- year rule only for media created from now on,0,2023-06-20T14:57:49Z
