snippet.textOrginal,roberta_neg,roberta_neu,roberta_pos,vader_neg,vader_neu,vader_pos,vader_compound
"28:28 omg! that was my primary school! (the circular glass building on the left) Hampden Gurney, what are the chances!",0.28314838,0.488351,0.22850056,0.395,0.605,0.0,-0.9664
"Rather than a black and white, Copyright to 20yrs, vs the current Death+70yrs. How about using some of that 'fair use' middle ground? What if, you maintain 100% can't touch it, for 25yrs (or death of artist, which ever is longer), then it relaxes to the current fair use laws, i.e. criticism & review, but for general non for profit background usage, then in 25 yrs, becomes general non for profit usage, then finally 25 more, and its public domain?",0.3009822,0.62682414,0.07219362,0.301,0.699,0.0,-0.9657
I'm going to put this video on the internet,0.028496945,0.5499791,0.42152402,0.257,0.743,0.0,-0.9643
The white noise thing shows that someone was stupid enough to create an automated system that fires at will rather than waiting for a human to give green light.,0.9597497,0.03801745,0.0022328908,0.166,0.74,0.094,-0.962
"I really want to have the screaming lawyer and the fact:opinion switch available as gifs for future use. If you agree to a perpetual license, don't respond to this comment.",0.23033355,0.6251466,0.14451978,0.178,0.791,0.031,-0.961
"teenager making compilations of romantic subtext between their two favourite characters on a tv show… solidarity, tom, solidarity.",0.00883166,0.42763966,0.56352866,0.234,0.75,0.015,-0.9604
"I can register my outro music at Distrokid, then claim my own video via their DMCA service. But equally hilarious, you can then sample the music or sound right before that, do the same at Distrokid, then claim my video as well. Then, if you're Time-Warner, you can bypass all of that and serve a DMCA from manual review with absolutely zero material from the complainant, re: Adam Neely's video claimed by Warner music for the section of the video playing JOYFUL NOISE not the section playing KATY PERRY even though Warner doesn't own Joyful Noise but YouTube just pushes the ""Accept"" button without bothering to investigate. 

The system doesn't use content id for most claims, it uses the honesty policy. They accept the claimants view without legal ramification even when the claimant admits at a later date that they claimed in bad faith, which IS illegal at least in the US. Filing in bad faith in the US courts has a precedent of going poorly for claimants. But not so when filling in the non-judicial YouTube court of corporate bureaucracy. 

Copyright law isn't the issue. Youtube didn't use copyright law. It uses ""who is the largest corporation making a claim"" law. Warner beats Distrokid beats you&me. No one beats Warner even when you win in court becayse you cost them 3 million while they false claimed 6 million in revenue. It's a net gain.

How to fix it, though? If Youtube wants to allow an algorithm to determine Fair Use or infringement, fine. But they accept the responsibility of adjudicating the appeals. That's the only change needed. Then suddenly they are liable for the bad faith claims. If they want to serve as an extra-judicial arbiter of revenue outside of the official courts, then it is only fair that they service all appeals.",0.41476223,0.5022888,0.08294894,0.429,0.523,0.047,-0.9598
"As bad as companies promising new artists photographers and music ""exposure"" in return for an unlimited usage license for eternity with no fees or royalties due.",0.71266264,0.2608134,0.02652393,0.143,0.785,0.072,-0.9593
"""Video game footage is widely understood to be fair use"" 
*looks at nintendo",0.05581477,0.66955245,0.27463284,0.335,0.665,0.0,-0.9591
YES FINALLY SOMEONE TALKS ABOUT PACHELBEL'S CANON IN D AND MAROON 5'S MEMORIES.,0.016587375,0.38539872,0.59801394,0.604,0.323,0.073,-0.959
I like how at the end they have the copyright information with the year in Roman numerals.,0.011359401,0.22453775,0.7641029,0.135,0.801,0.064,-0.9589
"The law is what is enforced ™
 - Jeremy A. Glassford 2020",0.04865225,0.8616851,0.08966258,0.231,0.755,0.014,-0.9587
How did you just make me watch a 42 minute video at 3am...,0.8220562,0.16451275,0.013431011,0.188,0.733,0.079,-0.9578
"That was a looooong video, and honestly, every second was enthralling.  Excellent work Tom!",0.0025325106,0.016433079,0.98103434,0.149,0.837,0.014,-0.9578
"One of the best ways to combat copyright claims on youtube is not to give all of the revenue for the claimant, but to give them only a part of it, equal to the percentage of the video the copyrighted material is used in. For instance - you used a song in an intro that's 1% of your entire video? Claimant receives 1% of your video's revenue. 

Also - I wonder, how do the copyright laws apply to legacy media using people's youtube videos, without credit, without license, without permission and using them not in a transformative manner, nor to criticise and not as a parody, but as a representation of a trend, or to put forward a certain narrative. 

Also - I actually like the idea of 50 year copyright.",0.089965336,0.45032045,0.45971417,0.267,0.67,0.063,-0.9576
"8:04 Parody is literally specified as fair dealing / fair use in many countries... I don't think this information is at all true.

Weird Al pushes the definition of parody as some of his songs are almost songs in their own right, just with the chords of an original. That would be a legal battle... But outright parodies mocking originals is completely fair use.

9:10 It doesn't need to be criticism exactly. One simply needs to show it's a parody - ie deliberate imitation for a comedic effect. If you're simply changing the words with limited/no reference to the original, it's hard to argue you're deliberately imitating to add a comedic aspect.",0.3997076,0.485003,0.11528949,0.443,0.499,0.058,-0.9566
"Comment for the effort.
Well done thank you",0.0073233927,0.067607075,0.9250695,0.131,0.811,0.058,-0.9564
"I think the way I'd do it is automatic 20 years then a renewal for another 20 years if you pay a smallish fee, like $100 perhaps. Small enough where a home hobbyist could do it if they really wanted to, but large enough where you stop and think about if it is really worth it, so it lets smaller things go a bit quicker.",0.018152952,0.49104977,0.49079728,0.284,0.669,0.047,-0.9559
"In the current system who is right does not matter, only who can support to settle it in the court system which is very expensive (time & money)
We don't care about whos RIGHT
WE care about the money
Most cases shouldn't even be allowed to be a thing if they dont generate alot of money (fixing most problems with the current system)",0.63541114,0.31401977,0.05056908,0.144,0.791,0.065,-0.9545
Didn't expect to the Lord of redstone in this video...,0.6221654,0.35143054,0.026404064,0.439,0.561,0.0,-0.9534
"You propose shorten the copyright time period, but there are other options. Copyright owners want the long period because of THE profitable songs, but video creator needs A suitable song. There could be short free copyright period, which is prologable by paying some money and surely there are many more options how to shrink the copyright to more precisely match needs of boths sides.",0.1283793,0.62785345,0.2437672,0.232,0.68,0.087,-0.9501
"Jay Foreman, IN A TOM SCOTT VIDEO
Instalike",0.027304607,0.8879297,0.0847657,0.305,0.695,0.0,-0.9493
The word certainly is broken,0.81596017,0.17506245,0.00897742,0.442,0.558,0.0,-0.949
"So if my ap world music video remixing gangsta’s paradise suddenly blows up, I could get sued out of existence?
Oh no",0.79322964,0.18828982,0.018480476,0.231,0.718,0.051,-0.9485
"The problem is a company can auto claim videos, then when the YouTuber asks for a manual review the company then decides if it's a legitimate copy write strike or not.",0.64687085,0.33779162,0.015337521,0.235,0.683,0.082,-0.9479
More longer videos like this one please! :-),0.0012222544,0.050536763,0.94824094,0.174,0.763,0.062,-0.9476
"I've seen nothing in here about fanfic - which often?  Usually? Congress with a disclaimer along the lines of "" I just wrote this for fun. No copyright infringement is intended and I don't have any money so don't bother to sue me."" But isn't using someone else's characters or fuctonal settings a copyright infringement? I know some authors hate fanfic and others allow it but won't read it in case *they* are accused if copyright infringement if they write a similar scene!",0.7238982,0.24767321,0.0284286,0.222,0.711,0.066,-0.9475
"commented twice, this is significant.  32:53",0.0019255716,0.07812784,0.91994655,0.159,0.807,0.033,-0.9457
~get a load of this society~,0.8265325,0.15852712,0.014940344,0.16,0.732,0.108,-0.9452
I am really liking the new feature in the scrub bar that allows you to see the sections of the video. I hope more people start using it with new uploads!,0.0013819338,0.014699343,0.9839188,0.255,0.666,0.079,-0.9434
I wonder if this video got copywrited for a shitty reason,0.85442317,0.14033154,0.0052452157,0.193,0.731,0.076,-0.9431
Was that the old 4:3 camera for the segment about 2006 YouTube?,0.045434713,0.9161329,0.0384323,0.2,0.749,0.051,-0.9427
15:13 i had to turn on captions for this part and im a native english speaker,0.2758761,0.66139364,0.062730215,0.126,0.82,0.054,-0.9417
"You're pronouncing it correctly.  It's ""gif"" as in ""gift,"" not ""Jeff"" as in ""Jeraffe""",0.12193153,0.6195384,0.25853005,0.225,0.687,0.088,-0.9411
This just makes me hate capitalism even more,0.9757996,0.021664202,0.0025361127,0.36,0.601,0.039,-0.9377
"7:19 sychronisation *licence* --> proper British spelling, presumably.",0.106236584,0.8256635,0.06809988,0.168,0.759,0.072,-0.9372
"A gamer is like an Ogre, you wouldn't want to see one angry.",0.91394544,0.080279246,0.005775247,0.196,0.696,0.107,-0.9354
"why not just remove copyright, and make everything decentralized, so u can trade the original but copies will be there always, copying legal but u still own the original, and u can use ICOs to support/invest in new projects and u might have governance tokens to decide about the way the project should go",0.050277945,0.74166316,0.20805895,0.169,0.757,0.074,-0.9353
"I'm watching this right after finding out that Warner Bros copyrighted MeatCanyon's Wabbit Season. Btw, it's now officially canon that Bugs Bunny is a rapist",0.5012803,0.4047326,0.09398708,0.25,0.712,0.038,-0.9349
"There was even a time when Sintel got flagged. That is an explicitly open source movie by the Blender Foundation and made entirely on donated money and computing resources and with their own 3D animation software Blender kind of as a show de force, yet just because Sony used the 4K render of it as a test video it got flagged by Sony on Blender Foundation's own YouTube channel.",0.19652529,0.6450592,0.15841548,0.229,0.714,0.057,-0.9347
i say 50 years or the life of the artist whatever is longest,0.050728157,0.87905717,0.07021473,0.152,0.764,0.083,-0.9346
Most of the music videos I've saved and loved have been taken down by Sony.   Sony sucks.,0.9290708,0.06326198,0.0076672575,0.132,0.83,0.038,-0.9344
I think you should be a lobbyist for shorter copyright. You've got me convinced.,0.1155943,0.5399438,0.34446192,1.0,0.0,0.0,-0.9337
What a mess.,0.9115334,0.07648464,0.01198196,0.256,0.698,0.046,-0.9333
"When something stops being copyright, patent, trademark ie revenue stream and becomes history...",0.4137827,0.53435504,0.051862285,0.611,0.296,0.093,-0.9325
W,0.24213046,0.54368156,0.21418793,0.307,0.591,0.103,-0.9299
You really brought out the power team of YouTube Copyright lawyers there with BOTH Leonard French AND LegalEagle. I follow them both. I do Constitutional law myself.,0.00517188,0.18099861,0.81382954,0.154,0.762,0.084,-0.9296
"I rhink its a verry arrogant idea. Like if i make up a word, do i own it? Can i make people pay because it was my original idea? This is not what mankind thrives on... it thrived on sharing and elaborating.",0.7221846,0.24414268,0.03367276,0.156,0.822,0.022,-0.9295
PHENOMENAL VIDEO,0.094390504,0.8060175,0.09959196,0.117,0.829,0.055,-0.9295
I’ve never learned so much and so little at the same time,0.44367343,0.42208755,0.13423906,0.124,0.855,0.021,-0.9284
Super liminal has one of my favorite video game endings I’ve ever experienced,0.0017741686,0.021515032,0.97671086,0.209,0.791,0.0,-0.928
We need Public Speaker reacting to Mr Tom Scott,0.09307058,0.84364563,0.06328377,0.253,0.681,0.065,-0.9275
Wait mumbos name is ollie? Wtf???,0.5925165,0.39229152,0.015191996,0.176,0.788,0.036,-0.9273
I think there should be much more protection for users so companies like junkin wouldnt abuse the system.,0.45319647,0.4854795,0.061323993,0.149,0.794,0.057,-0.9268
What's with that Union Jack?,0.2865601,0.679817,0.03362288,0.24,0.658,0.102,-0.9268
"that's another thing im curious about, they say Covering a song is a copy right infringement, BUT there  ALOT of people covering songs on you tube, on Guitar, Piano, and singing.
 many with alot of views,  How come they don't get questioned / taken down?",0.35545036,0.5728986,0.071651034,0.361,0.552,0.088,-0.9246
"where i live , there is no such thing as ""copyright "", for anything.",0.4852653,0.47358787,0.041146815,0.195,0.739,0.067,-0.9237
Why are those rocks in cages? Free the rocks!,0.7914042,0.19482176,0.013774076,0.145,0.804,0.051,-0.9219
Loved the vod but only one thing needs to happen. Reasonable pricing on creative media.,0.034472845,0.16743423,0.79809296,0.17,0.816,0.014,-0.9218
"For the Shakespeare one. It gets worse. Much MUCH MUCHHHH WORSE. Do you know how many Words Shakespeare has singlehandedly introduced to the English Language??? You'd have to pay Licencing fees for using words like Bandit, Critic, Elbow, Lonely, uncomfortable, and so so many more. It would be a nightmare.",0.94855267,0.04626609,0.0051813,0.207,0.73,0.063,-0.9217
"Both are broken. There are people who have made songs using sound clips like automatic gun fire. They are able to steal money from people like myself because I posted a video of a gun I was shooting on my other channel. Apparently, after review, it was determined that I must have edited out the actual sound the gun was making, took their song and removed everything but the gun fire then composited them together because the claim was allowed to stand.",0.8173998,0.17255615,0.010044058,0.097,0.854,0.049,-0.9213
"Vaporwave is a new genre that relies completely on illegal sampling, and they get away with it. And its some of the best music thats come out in the last few years.",0.015807122,0.084850304,0.8993426,0.226,0.7,0.074,-0.92
"I watched someone play the story-heavy game Portal, but that caused me to want to buy it for myself because the gameplay looked interesting and I was sure I'd forget most of the puzzles before I got the chance to buy it. I also bought a Wii U and Splatoon because I watched someone play during the server stress test and it piqued my interest. Little did I know I'd end up so obsessed with the lore that its ""sequel"" ended up feeling like pandering trash",0.15873833,0.305774,0.5354877,0.265,0.706,0.029,-0.9194
That Legal Eagle cameo was absolute gold,0.010283171,0.14550228,0.84421456,0.944,0.056,0.0,-0.9186
"Soooooo what you're saying is that the true solution is to implement post-scarcity space communism?

Based af. Commodifying creativity is stifling and backwards.",0.67010874,0.29869607,0.03119515,0.257,0.71,0.033,-0.9186
Why is the copyright holder called Pad 26?,0.47749573,0.50809604,0.01440825,0.167,0.752,0.081,-0.9184
what about the music copyright claims on videos with no music,0.4753715,0.5098293,0.014799258,0.132,0.836,0.033,-0.9181
"The fact that if someone wrote a song in 1900 when they were 20 and lived to 100, the song would not be in public domain until 2050 is ridiculous",0.6186492,0.3401585,0.041192353,0.15,0.791,0.06,-0.9137
"The major issue with making copyright shorter is that everyone alive today has never experienced how copyright was supposed to be before lobbyists extended it to inordinate amounts of time. To most people alive today, the idea that something that isn't several generations old could be in the public domain is totally unfathomable.",0.76416075,0.20819418,0.02764507,0.21,0.76,0.03,-0.9136
But you know money so suck it mate.,0.7983495,0.18146776,0.020182703,0.443,0.557,0.0,-0.9136
I think there needs to be a punishment on false content ID claiming and the thought that someone who content ID flagged you holds the reins after you appealed it is garbage too.,0.9027674,0.09270196,0.0045305723,0.228,0.729,0.043,-0.9134
I'm actually so happy for your show Tom! You've been labbing out so many interesting game shows that it's about time someone gave you a real platform for a real game show,0.0014143771,0.0062364885,0.99234915,0.129,0.775,0.096,-0.9122
There should be a public register with all the worst copyright trolling and abusing companies and the products they make so people could easily check and make sure to pirate anything those scumbags produce.,0.9198207,0.075997524,0.004181781,0.265,0.693,0.041,-0.9113
"29:09
could the graffiti artist file claim against this video?",0.35049447,0.63689363,0.012611867,0.29,0.667,0.043,-0.91
anyone else see the yoshi amiibos,0.1049828,0.82321703,0.07180021,0.28,0.628,0.092,-0.9088
"But google is one of the biggest companies.
Can they not handle the lawsuits?",0.30235204,0.47027662,0.2273713,0.401,0.599,0.0,-0.9081
2:59 when somebody calls my introverted ass,0.83435833,0.15447451,0.011167109,0.089,0.873,0.039,-0.9052
How did this only get 2.1M views,0.4579037,0.48546517,0.056631133,0.246,0.73,0.024,-0.9043
I really don't give a flip about this. Boring!!,0.9717924,0.023886284,0.0043212892,0.125,0.824,0.051,-0.9042
"I was suffering when I heard Canon in D, I'm so sick of it every commercial use it and well I'm not here for it xd",0.9756722,0.021840263,0.0024874501,0.123,0.849,0.029,-0.9042
Matebyiur fd encuksion every slug in the universe will be able to break you and I will still be brutal,0.6129361,0.35795814,0.029105807,0.148,0.785,0.067,-0.9042
"i don't suggest watching the video when u r tired, my brain is going to explode, i was going to start a youtube channel, no thnks i won't forever, it's soooo wiiiiddee",0.6776114,0.24982843,0.072560154,0.301,0.67,0.029,-0.9041
This video seems to be something of an Avengers of youtube. Noice.,0.305893,0.58991754,0.104189456,0.201,0.754,0.045,-0.9038
If YouTube goes down 30 billion people will be rioting within 20 minutes,0.8669492,0.122866265,0.010184536,0.086,0.871,0.043,-0.9024
British and American case law sucks. That's the problem. It was innovative a few hundred years ago but now it's just a anachronistic burden. I'm so happy to live in the EU where we have straight forward written law and legal positivism!,0.6837349,0.22533694,0.09092816,0.332,0.616,0.052,-0.9019
"Tom Scott: plays piano
Lord Vinheteiro: points",0.040911466,0.9119995,0.04708906,0.095,0.876,0.029,-0.9011
Is it copyrighting infringement to sign a song in America sign language. Just wondering because I did it a few times in college as a part or class and a club I was in. I didn't make any money but I was just wondering as I see a lot of them. It is transforming as you as translating the words but not the tune.,0.38671055,0.5539547,0.059334774,0.579,0.421,0.0,-0.9001
Thank Disney for the copyright law extensions,0.004328696,0.10093167,0.8947396,0.241,0.669,0.09,-0.8999
"Awesome Video as always, by far the best/more fact based videos on this subject I’ve seen. Thank you",0.0015658131,0.009456035,0.9889782,0.161,0.803,0.037,-0.899
Mumbo Jumbo making a cameo in Tom's video wasn't what I expected,0.69241416,0.28381205,0.023773799,0.178,0.776,0.047,-0.899
"If an AI creates a piece of work, does copyright go to the AI or the AI's maker?",0.18511212,0.7709509,0.043936986,0.259,0.626,0.115,-0.8979
Hey look! One of my favorite lawyers! 😁 no i did get more out of this than that. Great vid 😉,0.0016311471,0.010906163,0.9874627,0.156,0.786,0.058,-0.8974
Doubt the big media companies can sue big daddy Google out of existence more the other way around.,0.45489237,0.4941515,0.050956137,0.262,0.641,0.097,-0.8957
In a sea of stupidity this is an island of reason,0.77342635,0.2019091,0.024664545,0.099,0.831,0.069,-0.8957
"Tom: plays Pachelbel's Canon in D
Every Cellist: *traumatized screaming*",0.5662342,0.40014663,0.033619165,0.306,0.694,0.0,-0.8957
"Welp, imo, big companies are still a more in the ""wrong"", morally speaking, concerning ""fair use"". I'm all for free market and all, but at the same time don't pretend that the law does not gravitate towards the huge money dealers due to corruption and lobbying. If there were huge sums of money behind a law to consider parodies ""fair use"", then it would most likely happen. If Disney accidentally parodied something without permission, and got sued for it, definitions on parody would be all over the place.


And there is a certain gray area on parody vs criticism. The criticism in this vid aren't really criticism are they??",0.6153391,0.35214904,0.032511845,0.264,0.671,0.065,-0.8957
Bro please give me a job,0.22014165,0.6101707,0.16968766,0.182,0.818,0.0,-0.8948
"What if someone put a copyright enfringement on an orphan

What then",0.54104334,0.44379783,0.01515885,0.181,0.779,0.04,-0.8934
"This is probably late but, I feel really sorry for you that you get copyright claims on you owns video by the rubbish TV company from my country. I'm very glad that you're able to solve the problem. Most companies in my country are rubbish scumbags anyway so this is not really a surprise for me that they did something like this.",0.8181901,0.15007015,0.03173975,0.434,0.489,0.076,-0.8932
Preach,0.09131498,0.6447013,0.26398367,0.23,0.677,0.094,-0.8931
Youtube communist edition: No copyright we share here.,0.41099194,0.5401698,0.048838273,0.44,0.461,0.099,-0.891
I still don't get it. It's free real estate though,0.6679299,0.31256172,0.019508433,0.335,0.665,0.0,-0.891
Excelent video Tom,0.028270237,0.33071008,0.6410197,0.206,0.761,0.033,-0.8908
Is that Evan Edinger's room at 22:40? :D,0.004294376,0.61781013,0.3778955,0.229,0.671,0.099,-0.8885
"This was amazing. Welp, gonna go get curiosity stream now, I gotta support this somehow. I wish I could have donated ahead of time honestly.",0.0037401307,0.022746626,0.97351325,0.333,0.667,0.0,-0.8885
love the vid. gj,0.0030481312,0.014342466,0.9826094,0.155,0.789,0.056,-0.8875
2:58 Me (an introvert) receiving a random phone call from an unfamiliar number.,0.32591337,0.64406383,0.030022841,0.156,0.779,0.065,-0.887
"Youtubers : Here is how copyright claim your own video to earn revenue
Scott : Youtube isnt broken",0.21613729,0.6564282,0.1274345,0.171,0.784,0.045,-0.887
"Holy crap. Right before 11:52, I was thinking ""I wonder if LegalEagle has seen this"". Imagine my surprise when he's right there in the video!",0.16627735,0.4210873,0.41263533,0.839,0.161,0.0,-0.886
"Speaking as a VERY technically professional musician (in that someone bought one of my albums once when I plugged it as a way to donate in a desperate time) and someone who quite likes casual photography, there's real work and a ton of resources that go into these arts that need to be respected.  That said, I consider the abiilty for future creators to use stuff I make to be absoutely critical, because it's better to be deprived potential profit than to have these labors forgotten.  Of course, I'm only saying this because these creative outlets aren't how I actually make money to eat on a daily basis; while I'd like to think I'd have the same opinion if I managed to make a living out of it, there's no way in hell I could guarantee it if I was on the side of the equation that got screwed.

Basically, what I'm saying is that copyright is long overdue for fundamental reform and we need to ensure that artists are able to eat regardless of whether someone uses their work in something else, but the same wealthy elites backing neoliberal capitalism are the people who keep extending copyright and actively shutting down any attempts at changing it, so we're probably never getting out of this without a fundamental shift in our economic order.",0.3747935,0.4983959,0.12681061,0.331,0.669,0.0,-0.886
Over 10 years later this issue is still an issue...,0.70587003,0.2791239,0.015006036,0.219,0.751,0.03,-0.8846
Is Tom Scott the father of hbomberguy?,0.0681943,0.90808296,0.023722716,0.485,0.515,0.0,-0.8834
you got the legal egal to record that for you? haha class,0.1014085,0.75588787,0.14270355,0.214,0.738,0.048,-0.8823
Totally stealing this one.,0.17230979,0.5971594,0.23053083,0.129,0.825,0.046,-0.8823
M U S I C  I S  I M A G I N E  D R A G O N S,0.42952746,0.5085801,0.061892506,0.161,0.806,0.033,-0.8807
"Funny thing, Medicine already has a much more lax ""copyright"". Patents on Meds are done for after 20 years, then everyone can copy it and sell it.",0.4307557,0.47802052,0.09122379,0.203,0.797,0.0,-0.8807
"Why do so many people look _kinda like_ John Mulaney? 
I have never seen any of your videos, yet I have seen your face many times before.",0.6815343,0.28717297,0.03129277,0.129,0.844,0.027,-0.8802
"""You either have to be a subscription service, or one of the world's largest adver-"" 
An advertisement interupted Tom mid-sentence.",0.43574876,0.5239122,0.04033905,0.223,0.726,0.051,-0.8797
"I think that copyright should be life OR 25 years, whichever is longer. Then someone has their life to profit off of it but also their family can profit if they die less than 25 years after release. 70 years after death is just ridiculous.",0.67965966,0.2725066,0.047833744,0.237,0.664,0.099,-0.8793
"Much like the savvy youtuber knows to copyright ID claim their own videos to deadlock out the external claims, Tom uses his shill segment to cancel out the obnoxious ""like and subscribe"" message while still reaping the benefits of both. Genius of the highest caliber.",0.13545766,0.43798822,0.42655414,0.305,0.695,0.0,-0.8779
There can also be copyright for specific editions of music such as Pachelbel's canon such as a piano edition of a piece with fingerings or an edition of Bach with phrase markings.,0.081917986,0.8759533,0.04212878,0.326,0.674,0.0,-0.8779
Here in the US copyright is 70 years + an additional 20 years for a total of 90 years. That's absurd. If copyright laws were written by a SMART person here's how they would go: The copyright shall remain in effect for the entire life of the creator. Should the creator have any children/next of in they should be able to renew the copyrighted work in question for an additional 10 years. Should they fail to renew the copyright within 5 years of the creator's death the copyrighted product in question shall automatically enter into the public domain. Should the creator die with no children/next of kin the copyright shall automatically be forfeit and enter into the public domain.,0.5985744,0.34944668,0.051978912,0.106,0.867,0.027,-0.8769
If your in europe consider voting for the european pirate party they are looking to reform the copyright system,0.15893862,0.7279947,0.113066725,0.246,0.631,0.122,-0.8765
"The thing that is not right, is that the copyright got prolonged that it takes much longer for creations to get into public domain. Thats so the children and grand children of the creator still will get money, without even doing something",0.8325712,0.15617946,0.011249271,0.223,0.777,0.0,-0.8765
Thanks Tom. Now I'll have Canon in D stuck in my head for the next fortnight.,0.082840666,0.542599,0.3745603,0.435,0.565,0.0,-0.875
11:52 why is this so funny? Not to summarize this entire video into a silly little clip. But my sides hurt.,0.6291297,0.2641568,0.10671348,0.091,0.863,0.045,-0.875
Wait you know Jay Foreman?,0.077258185,0.88374573,0.03899612,0.194,0.747,0.059,-0.8735
"Tolkien in the public domain, need I say more?",0.12181314,0.822307,0.055879746,0.251,0.658,0.092,-0.8735
"Nope, until they die, no sooner.  People should be able to live off their creation as long as they live.",0.3798643,0.5033827,0.116753004,0.117,0.824,0.06,-0.8734
"Why are the rights to creative works transferrable?
Nothing is stopping Bono's children from writing their own songs.
They have the same (actually even better) tools as him to do it.
Businesses I can understand cause they rely on limited resources or agreements between parties.
But a song is 100% creative. Copyright should be the author's lifetime and that's it. Upon death it becomes public domain.",0.13186319,0.51775026,0.35038656,0.168,0.778,0.054,-0.872
A FORTY TWO MINUTE TOM SCOTT VID IM GOING ABSOLUTELY BONKERS,0.10262326,0.5145686,0.3828081,0.569,0.431,0.0,-0.872
God damn I was just chilling on YouTube and clicked on this video without looking at a time stamp and an hour later I feel like I just watched a 10 minute video. Nice work Tom.,0.35651767,0.37901038,0.26447198,0.577,0.423,0.0,-0.872
"There's a lot of old musicians who never got very big hits but it was their livlihood, who might starve or freeze in their 70s if they don't at least get their music rights til death. But otherwise a lot of sense.",0.3749613,0.5360994,0.088939354,0.194,0.779,0.027,-0.872
I was expecting a copyright claim from youtube at the bottom of the video...,0.63314044,0.34445024,0.022409355,0.353,0.611,0.035,-0.8712
Jay Foreman is a surprise to be sure but a welcome one,0.00172128,0.061888628,0.93639016,0.266,0.591,0.143,-0.871
"Psssh. Next you're going be telling me that ""【ＮＯ　ＨＯＭＯ】""
 is invalid.",0.7639317,0.21974154,0.016326731,0.139,0.773,0.088,-0.8689
Lifetime or 50 years is the solution for those who live long and produced a successful song in their 20s,0.015711999,0.29882747,0.68546057,0.2,0.8,0.0,-0.8677
35:25 its because of this games like no one lives forever is dead.,0.5801807,0.36836103,0.05145825,0.368,0.632,0.0,-0.8674
this video is really good,0.0018230024,0.008695253,0.9894818,0.146,0.854,0.0,-0.8671
When a silent video gets copyright striked for a copyrighted song : haha yes,0.25773427,0.57408345,0.16818231,0.304,0.696,0.0,-0.8663
Me to All youtuber now 0:22,0.025866432,0.89773476,0.07639872,0.47,0.419,0.112,-0.8658
Why are the jay foreman scream at the end bloopers? Every single one is perfect,0.07136684,0.2925493,0.6360839,0.112,0.851,0.037,-0.8656
What about no copyright ever? What kind of world would that be?,0.47038135,0.4694963,0.060122315,0.386,0.614,0.0,-0.8649
